cavallo;accavallare;222
cavallo;scavallare;11
cavallo;scavallare;11
cavallo;scavallare;11
cena;cenare;722
centro;centrare;4356
centro;accentrare;473
centro;incentrare;4946
cervello;scervellare;31
chiave;chiavare;58
cibo;cibare;1351
cifra;cifrare;634
cima;cimare;105
classe;classificare;13353
clima;acclimare;5
clima;acclimatare;58
clima;climatizzare;73
coda;accodare;260
coda;scodare;23
coda;scodare;23
collina;scollinare;16
collo;accollare;418
collo;scollare;69
colore;colorare;2250
colore;colorire;166
colore;scolorare;9
colore;scolorire;82
colpa;incolpare;785
colpo;colpire;35822
colpo;scolpire;3227
coltello;accoltellare;520
commercio;commerciare;865
compagno;accompagnare;24004
compagno;scompagnare;6
complesso;complessare;11
complimento;complimentare;522
condizione;condizionare;3623
confessione;confessare;4139
confessione;sconfessare;341
confine;confinare;5458
confine;sconfinare;1014
consiglio;consigliare;8047
consiglio;sconsigliare;1173
contatto;contattare;8953
contratto;contrattare;432
coraggio;incoraggiare;4304
coraggio;scoraggiare;1581
corno;incornare;27
corno;scornare;80
corno;scornare;80
corno;cornificare;30
corpo;accorpare;954
corte;corteggiare;948
costa;accostare;2809
costa;scostare;234
costa;costeggiare;1488
croce;incrociare;4339
cucina;cucinare;1863
cuore;accorare;56
cuore;scorare;11
cura;curare;16910
custode;custodire;5648
danno;dannare;215
danno;danneggiare;8446
debito;addebitare;513
debito;indebitare;506
debito;sdebitare;121
dente;addentare;95
dente;indentare;5
dente;sdentare;15
differenza;differenziare;5815
dimensione;dimensionare;241
dio;deificare;41
direzione;direzionare;49
distanza;distanziare;1099
dito;additare;767
documento;documentare;5930
dolore;dolorare;17
dolore;addolorare;367
dote;dotare;34214
dottore;addottorare;33
dubbio;dubitare;1955
emozione;emozionare;1082
entusiasmo;entusiasmare;1433
esame;esaminare;5013
esempio;esemplificare;459
esilio;esiliare;1831
fabbrica;fabbricare;2272
faccenda;affaccendare;50
faccenda;sfaccendare;15
faccia;affacciare;6805
fame;affamare;460
fame;sfamare;522
fascista;fascistizzare;11
fastidio;infastidire;1094
fatica;faticare;1145
fatica;affaticare;233
favore;favorire;14747
favore;favoreggiare;22
ferro;ferrare;331
ferro;afferrare;2059
ferro;sferrare;1356
ferro;sferrare;1356
festa;festeggiare;6369
fianco;fiancare;23
fianco;affiancare;12845
fianco;sfiancare;158
fianco;fiancheggiare;930
fiato;fiatare;103
fiato;affiatare;323
fiato;sfiatare;108
figlio;figliare;415
figura;figurare;6998
figura;sfigurare;807
fila;sfilare;2431
film;filmare;1551
filo;filare;912
filo;affilare;381
filo;infilare;2629
filo;sfilare;2431
fine;finire;51289
fiore;fiorire;2341
fiore;affiorare;1166
fiore;affiorare;1166
fiore;affiorare;1166
fiore;infiorare;80
fiore;sfiorire;87
fiore;sfiorire;87
fiore;sfiorire;87
foglia;fogliare;677
foglia;sfogliare;720
foglio;sfogliare;720
foglio;sfogliare;720
folla;affollare;1139
fondo;fondare;46623
fondo;affondare;5303
fondo;sfondare;2145
fondo;sfondare;2145
forma;formare;55484
forma;informare;11158
forma;informare;11158
forma;sformare;41
formula;formulare;3780
fortuna;infortunare;866
forza;forzare;4004
forza;sforzare;1290
forza;sforzare;1290
forza;sforzare;1290
fotografia;fotografare;2827
frase;fraseggiare;12
fratello;affratellare;37
fretta;affrettare;1191
fronte;affrontare;29126
frutta;fruttare;1249
frutta;sfruttare;17417
frutta;sfruttare;17417
frutto;fruttificare;177
fuga;fugare;556
fumo;fumare;2265
fumo;sfumare;1294
funzione;funzionare;13107
fuoco;infuocare;702
fuoco;sfocare;82
fuoco;sfocare;82
gamba;sgambare;32
gamba;sgambare;32
gamba;gambizzare;5
gara;gareggiare;2488
genere;generare;16610
genere;ingenerare;292
gesto;gestire;22718
ghiaccio;ghiacciare;594
ghiaccio;agghiacciare;30
ginocchio;inginocchiare;995
gioco;giocare;49861
gioia;gioire;672
giorno;aggiornare;7386
giorno;aggiornare;7386
giro;girare;24519
giustizia;giustiziare;2710
gloria;gloriare;71
gloria;glorificare;348
goccia;gocciare;86
gola;golare;13
gola;golare;13
gola;sgolare;17
gomma;gommare;339
gomma;sgommare;72
gomma;sgommare;72
gomma;sgommare;72
grado;graduare;179
grado;gradire;2976
grado;aggradare;117
grano;granire;146
grano;granire;146
grano;ingranare;151
grano;ingranare;151
grano;sgranare;204
grano;sgranare;204
grazia;graziare;411
grazia;aggraziare;74
grazia;ingraziare;259
gruppo;aggruppare;20
guaio;guaire;57
guaio;inguaiare;68
guerra;agguerrire;170
guerra;guerreggiare;139
idea;ideare;7187
immagine;immaginare;9625
impressione;impressionare;2302
inizio;iniziare;116255
interesse;interessare;21601
isola;isolare;6716
labbro;slabbrare;16
lacrima;lacrimare;107
lago;allagare;675
latte;allattare;478
lavoro;lavorare;62196
legno;legnare;97
letto;allettare;213
limite;limitare;25458
linea;lineare;7113
linea;allineare;2520
lista;listare;184
luna;lunare;3782
luna;allunare;52
luna;allunare;52
luogo;locare;2352
macchia;macchiare;1150
macchia;smacchiare;13
macchia;smacchiare;13
macchina;macchinare;96
maestro;ammaestrare;167
maglia;smagliare;5
maglia;smagliare;5
male;ammalare;2284
mamma;smammare;15
mano;maneggiare;864
mare;ammarare;103
mare;mareggiare;5
marito;maritare;365
maschio;maschiare;31
massa;ammassare;736
massa;massificare;80
medico;medicare;350
membro;smembrare;729
memoria;memorizzare;2456
meraviglia;meravigliare;1021
ministro;ministrare;723
ministro;amministrare;3863
misura;misurare;7829
modello;modellare;2022
modo;modificare;21130
moglie;ammogliare;22
monte;montare;12422
monte;ammontare;3956
monte;smontare;1418
morte;mortificare;457
motivo;motivare;2225
motore;motorizzare;1379
movimento;movimentare;1116
mucchio;ammucchiare;140
muro;murare;1555
musica;musicare;1003
natura;snaturare;395
nebbia;annebbiare;153
nebbia;snebbiare;5
necessitÃ ;necessitare;5456
negozio;negoziare;1626
nervo;innervare;225
nervo;snervare;31
noia;annoiare;894
nome;nomare;52
nome;nominare;34402
notte;annottare;9
numero;numerare;1787
nuvola;annuvolare;12
occasione;occasionare;25
occhio;oculare;1376
occhio;adocchiare;79
occhio;inoculare;242
occhio;occhieggiare;55
odio;odiare;4449
odore;odorare;256
olio;oliare;127
ombra;ombrare;94
ombra;adombrare;193
ombra;ombreggiare;259
onda;inondare;781
onda;ondeggiare;207
onore;onorare;2710
opera;operare;23686
opera;adoperare;3576
ordine;ordinare;19938
orecchio;orecchiare;54
oro;orare;866
ospedale;ospedalizzare;46
ospite;ospitare;32110
osso;ossificare;69
pacco;impaccare;33
pace;pacificare;428
padrone;impadronire;1128
pagina;impaginare;88
paio;appaiare;370
paio;spaiare;123
palla;pallare;50
palla;impallare;27
palla;palleggiare;69
pane;impanare;57
pane;panificare;7
parco;parcare;598
parente;apparentare;133
parente;imparentare;2051
parte;impartire;1722
parte;spartire;1299
parte;spartire;1299
parte;partire;74912
parte;appartare;324
parte;parteggiare;434
passione;appassionare;3367
passo;passare;102381
passo;passeggiare;1800
patto;patteggiare;306
paura;impaurire;765
paura;spaurire;14
paura;spaurire;14
pelle;spellare;75
pelo;spelare;15
pelo;pelare;192
pelo;spelare;15
pelo;spelare;15
pena;penare;141
pensiero;impensierire;235
pensione;pensionare;250
pericolo;pericolare;50
pericolo;spericolare;66
periodo;periodare;342
periodo;periodizzare;6
persona;impersonare;1738
persona;personificare;296
pesce;pescare;2011
peso;pesare;4340
peso;spesare;35
pezzo;appezzare;12
pezzo;spezzare;4234
piano;pianificare;3147
pianta;piantare;2309
pianta;impiantire;30
pianta;spiantare;63
pianta;impiantare;1687
piatto;impiattare;8
piazza;piazzare;4854
piazza;spiazzare;790
piazza;spiazzare;790
piede;appiedare;257
pietra;impietrire;88
poeta;poetare;470
polvere;impolverare;75
polvere;spolverare;357
polvere;spolverare;357
polvere;polverizzare;375
popolo;popolare;41729
popolo;impopolare;648
popolo;spopolare;870
popolo;spopolare;870
posizione;posizionare;8269
posta;postare;2885
posta;impostare;4025
posta;posteggiare;97
posto;postare;2885
posto;impostare;4025
posto;posteggiare;97
potenza;potenziare;2925
pranzo;pranzare;393
pratica;praticare;10423
pratica;impratichire;46
premio;premiare;6504
presenza;presenziare;1137
prete;pretare;14
prete;spretare;54
prezzo;prezzare;7
prezzo;sprezzare;100
prigione;imprigionare;4779
prigione;sprigionare;738
principe;principare;5
principio;principiare;382
processo;processare;2679
processo;processare;2679
profumo;profumare;511
progetto;progettare;18868
programma;programmare;4919
proposito;spropositare;215
pugno;impugnare;1632
punta;puntare;18360
punta;appuntare;384
punta;appuntire;1238
punta;impuntare;86
punta;spuntare;3041
punta;spuntare;3041
punta;spuntare;3041
punta;spuntare;3041
punto;puntare;18360
punto;appuntare;384
punto;punteggiare;539
quadro;quadrare;1438
quadro;inquadrare;4038
quadro;squadrare;1567
quadro;squadrare;1567
quartiere;acquartierare;194
questione;questionare;27
rabbia;arrabbiare;2204
radio;radiare;1708
radio;radiare;1708
radio;irradiare;813
radio;irradiare;813
raggio;raggiare;99
raggio;irraggiare;80
ragione;ragionare;2358
ragione;sragionare;27
ramo;ramare;295
ramo;ramificare;416
regno;regnare;4149
regola;sregolare;43
regola;regolare;16832
relazione;relazionare;1859
rischio;rischiare;11083
rischio;arrischiare;71
rispetto;rispettare;11456
riva;arrivare;110892
rivoluzione;rivoluzionare;1349
rumore;rumoreggiare;134
ruota;ruotare;4145
sabbia;sabbiare;75
sabbia;insabbiare;318
sacco;insaccare;464
sacco;saccheggiare;2986
sale;salare;730
sale;salificare;8
sangue;sanguinare;394
sangue;insanguinare;588
sapore;saporire;110
sapore;assaporare;571
sapore;insaporire;265
scala;scalare;3304
scatola;scatolare;144
scatola;inscatolare;78
scena;inscenare;723
scena;sceneggiare;851
schiena;schienare;60
schifo;schifare;263
segno;segnare;31044
segno;assegnare;22600
segno;insegnare;14798
segno;significare;28733
servo;servire;40155
servo;asservire;565
sete;assetare;507
sezione;sezionare;386
signore;signoreggiare;31
silenzio;silenziare;100
simpatia;simpatizzare;366
sindaco;sindacare;171
sistema;sistemare;5958
soggetto;assoggettare;1257
sogno;sognare;5640
soldo;assoldare;936
sole;soleggiare;111
somma;sommare;4029
somma;assommare;497
sonno;assonnare;39
sorte;sortire;628
sorte;assortire;114
sorte;assortire;114
sorte;sorteggiare;302
sospetto;insospettire;521
sostanza;sostanziare;204
spalla;spalleggiare;356
spazio;spaziare;3013
specchio;specchiare;234
specie;specificare;4012
spesa;spesare;35
spiaggia;spiaggiare;7
sposa;sposare;38597
stagione;stagionare;198
stalla;stallare;29
stanza;stanziare;3012
stazione;stazionare;706
stella;stellare;5102
stella;stellare;5102
stomaco;stomacare;16
straniero;instradare;271
studio;studiare;32544
tabacco;tabaccare;35
tasca;intascare;347
tassa;tassare;685
tavola;tavolare;25
tavola;intavolare;255
telefono;telefonare;2099
tempo;temporeggiare;130
termine;terminare;28721
termine;sterminare;1624
termine;sterminare;1624
terra;atterrare;2501
terra;interrare;1188
terra;sterrare;522
testa;intestare;681
timore;intimorire;543
tipo;tipizzare;111
titolo;titolare;12842
titolo;intitolare;22069
tono;intonare;1288
tono;stonare;478
tono;tonificare;69
torre;torreggiare;56
tratto;tratteggiare;664
tronco;troncare;905
tronco;stroncare;1358
trucco;truccare;1144
trucco;struccare;29
uccello;uccellare;61
ufficio;ufficiare;35
uso;usare;117749
uso;adusare;8
valigia;svaligiare;101
valore;avvalorare;802
valore;valorizzare;2787
vaso;invasare;73
vaso;svasare;115
vaso;svasare;115
vaso;svasare;115
vento;ventilare;521
vento;avventare;397
vento;avventare;397
vento;sventare;1027
vento;sventare;1027
vergogna;vergognarsi;424
vergogna;svergognare;65
vetro;vetrificare;49
via;avviare;13679
via;inviare;31820
viaggio;viaggiare;10238
vicenda;avvicendare;692
villa;villeggiare;37
vino;svinare;5
vino;vinificare;75
viso;avvisare;2439
viso;svisare;8
vista;avvistare;1667
vittima;vittimizzare;15
voce;vociare;4577
voglia;invogliare;362
volta;volteggiare;207
voto;votare;12516
amore;innamorare;10820
ruota;rotare;154
braccio;sbracciare;73
mamma;smammare;15
vergogna;vergognare;1138
