verbo;Frequency
orare;866
commerciare;865
maneggiare;864
sceneggiare;851
irradiare;813
sfigurare;807
avvalorare;802
spiazzare;790
incolpare;785
inondare;781
additare;767
impaurire;765
sprigionare;738
ammassare;736
salare;730
smembrare;729
ministrare;723
inscenare;723
cenare;722
sfogliare;720
avventurare;714
stazionare;706
infuocare;702
avvicendare;692
tassare;685
intestare;681
fogliare;677
allagare;675
gioire;672
tratteggiare;664
impopolare;648
architettare;644
incatenare;635
cifrare;634
sortire;628
parcare;598
ghiacciare;594
insanguinare;588
accanire;581
assaporare;571
incanalare;567
asservire;565
fugare;556
intimorire;543
scarcerare;540
punteggiare;539
sfamare;522
sterrare;522
complimentare;522
insospettire;521
ventilare;521
accoltellare;520
addebitare;513
profumare;511
assetare;507
indebitare;506
campare;502
assommare;497
sbandierare;493
alberare;489
accasare;484
incamminare;484
stonare;478
allattare;478
aleggiare;476
accentrare;473
poetare;470
insaccare;464
affamare;460
esemplificare;459
mortificare;457
incamerare;453
bordare;449
sborsare;446
scalzare;440
sboccare;440
parteggiare;434
contrattare;432
pacificare;428
atteggiare;426
vergognarsi;424
accollare;418
ramificare;416
figliare;415
graziare;411
avventare;397
snaturare;395
sanguinare;394
pranzare;393
sezionare;386
appuntare;384
principiare;382
affilare;381
polverizzare;375
appaiare;370
addolorare;367
simpatizzare;366
maritare;365
invogliare;362
inanellare;358
spolverare;357
spalleggiare;356
calzare;355
medicare;350
glorificare;348
intascare;347
periodare;342
sconfessare;341
gommare;339
ferrare;331
appartare;324
affiatare;323
imbottigliare;318
insabbiare;318
sbancare;310
patteggiare;306
scanalare;303
sorteggiare;302
personificare;296
ramare;295
ingenerare;292
imbracciare;283
instradare;271
carbonizzare;270
insaporire;265
schifare;263
abbordare;262
accodare;260
ombreggiare;259
ingraziare;259
appiedare;257
odorare;256
intavolare;255
pensionare;250
inoculare;242
dimensionare;241
capitalizzare;238
canalizzare;236
impensierire;235
scostare;234
specchiare;234
affaticare;233
innervare;225
carrozzare;222
accavallare;222
abboccare;216
spropositare;215
dannare;215
allettare;213
abbisognare;207
volteggiare;207
ondeggiare;207
sgranare;204
sostanziare;204
stagionare;198
acquartierare;194
adombrare;193
pelare;192
listare;184
graduare;179
fruttificare;177
sindacare;171
agguerrire;170
ammaestrare;167
colorire;166
sfiancare;158
rotare;154
annebbiare;153
ingranare;151
sciacquare;149
granire;146
scatolare;144
penare;141
ammucchiare;140
guerreggiare;139
rumoreggiare;134
apparentare;133
temporeggiare;130
incartare;128
oliare;127
inalberare;125
spaiare;123
sdebitare;121
aggradare;117
svasare;115
assortire;114
amoreggiare;112
soleggiare;111
tipizzare;111
saporire;110
sfiatare;108
lacrimare;107
inarcare;105
cimare;105
ammarare;103
fiatare;103
svaligiare;101
sprezzare;100
silenziare;100
raggiare;99
scalciare;97
legnare;97
posteggiare;97
macchinare;96
addentare;95
ombrare;94
armeggiare;89
impaginare;88
impietrire;88
sfiorire;87
impuntare;86
canzonare;86
gocciare;86
scolorire;82
sfocare;82
carcerare;81
irraggiare;80
scornare;80
infiorare;80
massificare;80
adocchiare;79
inscatolare;78
spellare;75
vinificare;75
sabbiare;75
impolverare;75
aggraziare;74
climatizzare;73
sbracciare;73
calcificare;73
invasare;73
sgommare;72
arrischiare;71
gloriare;71
imboscare;69
tonificare;69
scollare;69
ossificare;69
palleggiare;69
inguaiare;68
spericolare;66
svergognare;65
spiantare;63
uccellare;61
arieggiare;61
schienare;60
acclimatare;58
chiavare;58
impanare;57
guaire;57
torreggiare;56
battagliare;56
accorare;56
occhieggiare;55
orecchiare;54
spretare;54
nomare;52
allunare;52
affaccendare;50
incamiciare;50
pericolare;50
pallare;50
vetrificare;49
direzionare;49
ospedalizzare;46
impratichire;46
boccheggiare;44
sregolare;43
deificare;41
sformare;41
sbarbare;39
assonnare;39
affratellare;37
villeggiare;37
ufficiare;35
spesare;35
tabaccare;35
scamiciare;34
impaccare;33
addottorare;33
sgambare;32
albeggiare;32
signoreggiare;31
maschiare;31
snervare;31
scervellare;31
impiantire;30
cornificare;30
agghiacciare;30
stallare;29
struccare;29
questionare;27
sragionare;27
impallare;27
incornare;27
tavolare;25
occasionare;25
scarrozzare;24
carbonare;24
bordeggiare;24
albergare;24
fiancare;23
scodare;23
favoreggiare;22
ammogliare;22
campire;21
aggruppare;20
incarnire;19
imbandierare;18
sgolare;17
dolorare;17
stomacare;16
scollinare;16
slabbrare;16
sdentare;15
spelare;15
smammare;15
vittimizzare;15
sfaccendare;15
spaurire;14
pretare;14
scarnire;13
smacchiare;13
borseggiare;13
golare;13
fraseggiare;12
annuvolare;12
appezzare;12
incarognire;11
scavallare;11
fascistizzare;11
complessare;11
scorare;11
barbare;11
annottare;9
scolorare;9
salificare;8
svisare;8
scappellare;8
impiattare;8
adusare;8
prezzare;7
spiaggiare;7
boccare;7
panificare;7
attenzionare;7
scompagnare;6
periodizzare;6
sbracciarsi;6
principare;5
indentare;5
mareggiare;5
smagliare;5
acclimare;5
snebbiare;5
gambizzare;5
svinare;5
